movieID	ranking
tt1827487	538
tt0019421	539
tt0067116	540
tt0103064	541
tt0070518	542
tt0112641	543
tt0080979	544
tt0859765	545
tt0065780	546
tt0048028	547
tt0443706	548
tt0117951	549
tt0841925	550
tt0101318	551
tt0059113	552
tt1032846	553
tt0071691	554
tt0075938	555
tt0206634	556
tt0092991	557
tt0044837	558
tt0064940	559
tt0043313	560
tt0139500	561
tt0027125	562
tt0045555	563
tt0102494	564
tt0057490	565
tt0200071	566
tt0068278	567
tt0093058	568
tt0056059	569
tt0076574	570
tt0117589	571
tt0068473	572
tt0119250	573
tt0046521	574
tt0130232	575
tt0026029	576
tt0060860	577
tt0023427	578
tt0069687	579
tt0065531	580
tt0022718	581
tt0063278	582
tt0072431	583
tt0030341	584
tt0071487	585
tt0106226	586
tt0048545	587
tt0101428	588
tt0079986	589
tt0078841	590
tt0128445	591
tt0091064	592
tt0346094	593
tt0105888	594
tt0057495	595
tt0064921	596
tt0075404	597
tt0043117	598
tt0093822	599
tt0074605	600
tt0075824	601
tt0082933	602
tt0049406	603
tt0049010	604
tt0023563	605
tt0468569	606
tt0291172	607
tt0477731	608
tt0075148	609
tt0090967	610
tt0057869	611
tt0066993	612
tt0245574	613
tt0058182	614
tt0240419	615
tt0048956	616
tt0069191	617
tt0381681	618
tt0165078	619
tt0056218	620
tt0063415	621
tt0099040	622
tt0037638	623
tt0020697	624
tt0085859	625
tt1139797	626
tt0042208	627
tt0073540	628
tt0068575	629
tt0042041	630
tt0209144	631
tt0049366	632
tt0016332	633
tt0036027	634
tt1556190	635
tt0058555	636
tt0059415	637
tt0059776	638
tt0013086	639
tt0134402	640
tt0120338	641
tt0015361	642
tt0046911	643
tt0023158	644
tt0070917	645
tt0019558	646
tt0043386	647
tt0377556	648
tt0086250	649
tt0055310	650
tt0383028	651
tt0034492	652
tt0071249	653
tt0057611	654
tt0043084	655
tt0071853	656
tt0064256	657
tt0084740	658
tt0399146	659
tt0113247	660
tt0031679	661
tt0032155	662
tt0051983	663
tt0053976	664
tt0103190	665
tt0032976	666
tt0078797	667
tt0043511	668
tt0317171	669
tt0014341	670
tt0089853	671
tt0028436	672
tt0079095	673
tt0235198	674
tt0062374	675
tt0044081	676
tt0038574	677
tt0119237	678
tt0402399	679
tt0080339	680
tt0044487	681
tt0119167	682
tt1221141	683
tt0052618	684
tt0093870	685
tt0120815	686
tt0056193	687
tt0119711	688
tt0052216	689
tt0054698	690
tt0100274	691
tt0353969	692
tt0057115	693
tt0071737	694
tt0168629	695
tt0254686	696
tt0073915	697
tt0086637	698
tt0102138	699
tt0468492	700
tt0087332	701
tt0043924	702
tt0106677	703
tt0094349	704
tt0048387	705
tt0056058	706
tt0180093	707
tt0064285	708
tt0115964	709
tt0100150	710
tt0048641	711
tt0067959	712
tt0057427	713
tt0040872	714
tt1020773	715
tt0082370	716
tt0084481	717
tt0290673	718
tt0042530	719
tt0107290	720
tt0037630	721
tt0039420	722
tt0052295	723
tt0050766	724
tt0054331	725
tt0119488	726
tt0067958	727
tt0082085	728
tt0089606	729
tt0082010	730
tt0018773	731
tt0092963	732
tt0033563	733
tt0144782	734
tt0499549	735
tt0044391	736
tt0043265	737
tt0099487	738
tt0093605	739
tt0103074	740
tt0048021	741
tt0055069	742
tt0298597	743
tt0216625	744
tt0119263	745
tt0098635	746
tt0013140	747
tt0073341	748
tt0066999	749
tt0095327	750
tt0091042	751
tt0109066	752
tt1235166	753
tt0097202	754
tt0120737	755
tt0108471	756
tt0024402	757
tt0061781	758
tt0061132	759
tt0074462	760
tt0062804	761
tt0095468	762
tt0015163	763
tt0106642	764
tt0040369	765
tt0203009	766
tt0062144	767
tt0065772	768
tt0020629	769
tt0093206	770
tt0079854	771
tt0104753	772
tt0054269	773
tt0078875	774
tt0033152	775
tt0050458	776
tt0094625	777
tt0109508	778
tt0065234	779
tt0375063	780
tt0055320	781
tt0043338	782
tt0046187	783
tt0060050	784
tt0986233	785
tt0041842	786
tt0100935	787
tt0405159	788
tt0075793	789
tt0110413	790
tt0043278	791
tt0126968	792
tt0065649	793
tt0045251	794
tt0070290	795
tt0076452	796
tt0058985	797
tt0093779	798
tt0035160	799
tt0048980	800
tt0120201	801
tt0183828	802
tt0109707	803
tt0029843	804
tt0061512	805
tt0076451	806
tt0080455	807
tt0120255	808
tt0070510	809
tt0030522	810
tt0169547	811
tt0021156	812
tt0104706	813
tt0361748	814
tt0086979	815
tt0019415	816
tt0066122	817
tt0048363	818
tt0014624	819
tt0054407	820
tt0054880	821
tt0066989	822
tt0422491	823
tt0106438	824
tt0048281	825
tt0074156	826
tt0052954	827
tt0030643	828
tt0071615	829
tt0079182	830
tt0058331	831
tt0082348	832
tt0046250	833
tt0076666	834
tt0245712	835
tt0076147	836
tt0111579	837
tt0061184	838
tt0154421	839
tt0063462	840
tt0105618	841
tt0179546	842
tt0092593	843
tt0044860	844
tt0045848	845
tt0037077	846
tt0043686	847
tt0048933	848
tt0084654	849
tt0283283	850
tt0048037	851
tt0043456	852
tt0059170	853
tt0196499	854
tt0058279	855
tt0074360	856
tt0022150	857
tt0095675	858
tt0067085	859
tt0086197	860
tt0089866	861
tt0119698	862
tt0081176	863
tt0052561	864
tt0097223	865
tt0109382	866
tt0102685	867
tt0088847	868
tt0060758	869
tt0212712	870
tt0140888	871
tt0080910	872
tt0041866	873
tt0097108	874
tt0025318	875
tt0056049	876
tt0017668	877
tt0038499	878
tt0091406	879
tt0035881	880
tt0301978	881
tt0050188	882
tt0181912	883
